,User ID,Country,Completed sim form,Passed training,Used phishing button,Test score,Time since training,Viewed images,Clicked link,Opened attachment,Reported sim,Watched feedback,Individual Risk Score,Status
0,6677201,GB,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,green
1,6812989,US,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,green
2,6812994,US,0.0,0.0,0.0,100.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,green
3,7469741,CH,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,green
4,8577487,LI,1.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,-1.0,6.0,yellow
5,8819324,SG,1.0,0.0,0.0,100.0,2.0,1.0,1.0,0.0,1.0,-1.0,5.0,yellow
6,8924410,CZ,0.0,0.0,0.0,100.0,1.0,1.0,1.0,0.0,1.0,-1.0,3.0,green
7,8927352,GB,1.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,-1.0,6.0,yellow
8,8941913,US,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,green
9,9374413,TW,1.0,0.0,0.0,100.0,2.0,0.0,1.0,0.0,1.0,-1.0,4.0,green
10,9374414,DE,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,green
11,9374415,GB,0.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,0.0,6.0,yellow
12,9374416,GB,0.0,0.0,0.0,100.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,yellow
13,9374561,,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,1.0,0.0,5.0,yellow
14,9399474,LI,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,-1.0,0.0,2.0,green
15,9678721,US,0.0,0.0,0.0,100.0,2.0,1.0,1.0,0.0,1.0,0.0,5.0,yellow
16,9684128,US,1.0,0.0,0.0,100.0,2.0,1.0,1.0,0.0,1.0,-1.0,5.0,yellow
17,9688411,US,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,green
18,9688412,PA,0.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,0.0,6.0,yellow
19,9751070,SG,1.0,0.0,0.0,100.0,2.0,1.0,1.0,0.0,1.0,-1.0,5.0,yellow
20,9786655,LI,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,green
21,9795814,,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,1.0,0.0,5.0,yellow
22,9796006,LI,0.0,0.0,0.0,100.0,3.0,0.0,1.0,0.0,1.0,-1.0,4.0,green
23,9796009,LI,0.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,0.0,6.0,yellow
24,9796407,AT,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,-1.0,0.0,1.0,green
25,9796558,IT,0.0,0.0,0.0,100.0,2.0,1.0,1.0,0.0,1.0,-1.0,4.0,green
26,9796560,CH,0.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,0.0,6.0,yellow
27,9796562,LI,0.0,0.0,0.0,100.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,yellow
28,9797178,LI,0.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,0.0,6.0,yellow
29,9797285,CA,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,green
30,9797404,BE,1.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,-1.0,6.0,yellow
31,9797406,CA,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,green
32,9797408,AE,1.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,-1.0,6.0,yellow
33,9798498,LI,0.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,-1.0,5.0,yellow
34,9799743,LI,1.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,-1.0,6.0,yellow
35,9800580,GB,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,green
36,9800587,MX,0.0,0.0,0.0,100.0,3.0,0.0,1.0,0.0,1.0,0.0,5.0,yellow
37,9803409,DE,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,-1.0,0.0,2.0,green
38,9806126,DE,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,green
39,9806128,DE,0.0,1.0,0.0,,3.0,1.0,0.0,0.0,1.0,0.0,6.0,yellow
40,9806132,DE,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,green
41,9806134,DE,0.0,0.0,0.0,100.0,3.0,0.0,1.0,0.0,1.0,0.0,5.0,yellow
42,9806135,DE,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,green
43,9813237,LI,0.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,-1.0,5.0,yellow
44,9813238,LI,0.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,-1.0,5.0,yellow
45,9813239,LI,0.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,-1.0,5.0,yellow
46,9813240,LI,0.0,0.0,0.0,100.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,yellow
47,9813242,US,1.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,-1.0,6.0,yellow
48,9813243,AE,0.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,0.0,6.0,yellow
49,9813244,AE,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,green
50,9813245,FR,0.0,0.0,0.0,100.0,2.0,1.0,1.0,0.0,1.0,-1.0,4.0,green
51,9813246,PA,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,green
52,9813327,DE,0.0,0.0,0.0,100.0,3.0,0.0,1.0,0.0,1.0,0.0,5.0,yellow
53,9814747,AU,1.0,0.0,0.0,100.0,2.0,0.0,1.0,0.0,1.0,-1.0,4.0,green
54,9814748,MY,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,-1.0,0.0,1.0,green
55,9814749,JP,1.0,0.0,0.0,100.0,2.0,0.0,1.0,0.0,1.0,-1.0,4.0,green
56,9814750,SG,1.0,0.0,0.0,100.0,2.0,1.0,1.0,0.0,1.0,-1.0,5.0,yellow
57,9814752,LI,1.0,0.0,0.0,100.0,2.0,1.0,1.0,0.0,1.0,-1.0,5.0,yellow
58,9814753,KR,0.0,1.0,0.0,80.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,yellow
59,9814754,NZ,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,-1.0,7.0,yellow
60,9814755,AU,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,green
61,9814973,LI,0.0,1.0,0.0,,3.0,1.0,1.0,0.0,1.0,-1.0,6.0,yellow
62,9814974,LI,1.0,1.0,0.0,50.0,3.0,1.0,1.0,0.0,1.0,-1.0,7.0,yellow
63,9815936,FR,1.0,0.0,0.0,100.0,2.0,0.0,1.0,0.0,1.0,-1.0,4.0,green
64,9815938,DE,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,1.0,0.0,5.0,yellow
65,9815941,AE,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,green
66,9815942,US,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,green
67,9815943,MX,0.0,0.0,0.0,100.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,yellow
68,9815945,AU,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,green
69,9815946,ID,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,green
70,9815947,JP,1.0,0.0,0.0,100.0,2.0,1.0,1.0,0.0,1.0,-1.0,5.0,yellow
71,9815948,JP,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,green
72,9815949,SG,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,-1.0,0.0,1.0,green
73,9815950,SG,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,-1.0,0.0,1.0,green
74,9815951,TH,0.0,0.0,0.0,100.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,green
75,9815954,IN,1.0,0.0,0.0,100.0,2.0,1.0,1.0,0.0,1.0,-1.0,5.0,yellow
76,9815955,IN,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,green
77,9815958,KR,0.0,0.0,0.0,100.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,green
78,9815959,CN,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,green
79,9815960,CN,0.0,0.0,0.0,100.0,2.0,1.0,1.0,0.0,1.0,0.0,5.0,yellow
80,9815962,GB,0.0,0.0,0.0,100.0,3.0,0.0,1.0,0.0,1.0,0.0,5.0,yellow
81,9816382,US,0.0,0.0,0.0,100.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,green
82,9816858,DE,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,green
83,9817362,GB,1.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,-1.0,6.0,yellow
84,9819676,AT,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,green
85,9819677,LI,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,-1.0,0.0,2.0,green
86,9820590,CN,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,green
87,9820591,IT,0.0,1.0,0.0,50.0,3.0,1.0,1.0,0.0,1.0,-1.0,6.0,yellow
88,9820592,RS,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,green
89,9820593,CH,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,green
90,9820594,LI,1.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,-1.0,6.0,yellow
91,9820595,DE,0.0,1.0,0.0,,3.0,1.0,0.0,0.0,1.0,0.0,6.0,yellow
92,9820597,LI,0.0,0.0,0.0,100.0,3.0,0.0,1.0,0.0,1.0,-1.0,4.0,green
93,9820599,US,1.0,0.0,0.0,100.0,2.0,1.0,1.0,0.0,1.0,-1.0,5.0,yellow
94,9820600,US,1.0,0.0,0.0,100.0,2.0,1.0,1.0,0.0,1.0,-1.0,5.0,yellow
95,9820601,US,0.0,0.0,0.0,100.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,green
96,9820602,DE,0.0,0.0,0.0,100.0,3.0,0.0,1.0,0.0,1.0,-1.0,4.0,green
97,9820603,DE,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,1.0,0.0,5.0,yellow
98,9820605,LI,0.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,-1.0,5.0,yellow
99,9820606,LI,0.0,0.0,0.0,100.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,yellow
100,9820607,LI,0.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,-1.0,5.0,yellow
101,9820608,LI,0.0,0.0,0.0,100.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,yellow
102,9820609,IT,0.0,1.0,0.0,100.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,yellow
103,9820611,AE,1.0,0.0,0.0,100.0,3.0,1.0,1.0,0.0,1.0,-1.0,6.0,yellow
